Origin,Origin_long,Origin_lat,Destination,Destination_long,Destination_lat
PHILIPPINES,121.774017,12.879721,PHILIPPINES,121.774017,12.879721
COOK ISLANDS,-159.777671,-21.236736,PHILIPPINES,121.774017,12.879721
BARBADOS,-59.543198,13.193887,PHILIPPINES,121.774017,12.879721
"TAIWAN, PROVINCE OF CHINA",120.960515,23.69781,PHILIPPINES,121.774017,12.879721
MARTINIQUE,-61.024174,14.641528,PHILIPPINES,121.774017,12.879721
VIET NAM,108.277199,14.058324,PHILIPPINES,121.774017,12.879721
EGYPT,30.802498,26.820553,PHILIPPINES,121.774017,12.879721
ISRAEL,34.851612,31.046051,PHILIPPINES,121.774017,12.879721
TURKS AND CAICOS ISLANDS,-71.797928,21.694025,PHILIPPINES,121.774017,12.879721
KAZAKHSTAN,66.923684,48.019573,PHILIPPINES,121.774017,12.879721
SOUTH AFRICA,22.937506,-30.559482,PHILIPPINES,121.774017,12.879721
UNITED STATES VIRGIN ISLANDS,-64.896335,18.335765,PHILIPPINES,121.774017,12.879721
PARAGUAY,-58.443832,-23.442503,PHILIPPINES,121.774017,12.879721
ANGUILLA,-63.06861499999999,18.220554,PHILIPPINES,121.774017,12.879721
"KOREA, REPUBLIC OF",127.766922,35.907757,PHILIPPINES,121.774017,12.879721
LUXEMBOURG,6.129582999999999,49.815273,PHILIPPINES,121.774017,12.879721
NEW CALEDONIA,165.618042,-20.904305,PHILIPPINES,121.774017,12.879721
KUWAIT,47.481766,29.31166,PHILIPPINES,121.774017,12.879721
MALDIVES,73.22068,3.202778,PHILIPPINES,121.774017,12.879721
DENMARK,9.501785,56.26392,PHILIPPINES,121.774017,12.879721
ANTARCTICA,135.0,-82.862752,PHILIPPINES,121.774017,12.879721
ARUBA,-69.968338,12.52111,PHILIPPINES,121.774017,12.879721
MOLDOVA,28.369885,47.411631,PHILIPPINES,121.774017,12.879721
SAUDI ARABIA,45.079162,23.885942,PHILIPPINES,121.774017,12.879721
MONTSERRAT,-62.187366,16.742498,PHILIPPINES,121.774017,12.879721
ANGOLA,17.873887,-11.202692,PHILIPPINES,121.774017,12.879721
FIJI,178.065032,-17.713371,PHILIPPINES,121.774017,12.879721
GERMANY,10.451526,51.165691,PHILIPPINES,121.774017,12.879721
EQUATORIAL GUINEA,10.267895,1.650801,PHILIPPINES,121.774017,12.879721
MADAGASCAR,46.869107,-18.766947,PHILIPPINES,121.774017,12.879721
LIECHTENSTEIN,9.555373,47.166,PHILIPPINES,121.774017,12.879721
ALBANIA,20.168331,41.153332,PHILIPPINES,121.774017,12.879721
MACAU,113.543873,22.198745,PHILIPPINES,121.774017,12.879721
MALTA,14.375416,35.937496,PHILIPPINES,121.774017,12.879721
GABON,11.609444,-0.803689,PHILIPPINES,121.774017,12.879721
AZERBAIJAN,47.576927,40.143105,PHILIPPINES,121.774017,12.879721
AUSTRALIA,133.775136,-25.274398,PHILIPPINES,121.774017,12.879721
RUSSIAN FEDERATION,105.318756,61.52401,PHILIPPINES,121.774017,12.879721
BELARUS,27.953389,53.709807,PHILIPPINES,121.774017,12.879721
MALI,-3.996166,17.570692,PHILIPPINES,121.774017,12.879721
TURKEY,35.243322,38.963745,PHILIPPINES,121.774017,12.879721
CHAD,18.732207,15.454166,PHILIPPINES,121.774017,12.879721
CENTRAL AFRICAN REPUBLIC,20.939444,6.611110999999999,PHILIPPINES,121.774017,12.879721
VANUATU,166.959158,-15.376706,PHILIPPINES,121.774017,12.879721
TAJIKISTAN,71.276093,38.861034,PHILIPPINES,121.774017,12.879721
JAPAN,138.252924,36.204824,PHILIPPINES,121.774017,12.879721
ITALY,12.56738,41.87194,PHILIPPINES,121.774017,12.879721
HUNGARY,19.5033041,47.162494,PHILIPPINES,121.774017,12.879721
GUADELOUPE,-61.55099999999999,16.265,PHILIPPINES,121.774017,12.879721
YUGOSLAV REP. OF MACEDONIA,21.745275,41.608635,PHILIPPINES,121.774017,12.879721
US MINOR OUTLYING ISLANDS,166.647047,19.2823192,PHILIPPINES,121.774017,12.879721
WALLIS AND FUTUNA ISLANDS,-178.1165,-14.2938,PHILIPPINES,121.774017,12.879721
LAO PEOPLE'S DEMOCRATIC REPUBLIC,102.495496,19.85627,PHILIPPINES,121.774017,12.879721
BRITISH VIRGIN ISLANDS,-64.639968,18.420695,PHILIPPINES,121.774017,12.879721
ERITREA,39.782334,15.179384,PHILIPPINES,121.774017,12.879721
CAPE VERDE,-23.0418,16.5388,PHILIPPINES,121.774017,12.879721
SURINAME,-56.027783,3.919305,PHILIPPINES,121.774017,12.879721
BELIZE,-88.49765,17.189877,PHILIPPINES,121.774017,12.879721
ICELAND,-19.020835,64.963051,PHILIPPINES,121.774017,12.879721
GIBRALTAR,-5.353585,36.140751,PHILIPPINES,121.774017,12.879721
CUBA,-77.781167,21.521757,PHILIPPINES,121.774017,12.879721
MOZAMBIQUE,35.529562,-18.665695,PHILIPPINES,121.774017,12.879721
BURKINA FASO,-1.561593,12.238333,PHILIPPINES,121.774017,12.879721
LEBANON,35.862285,33.854721,PHILIPPINES,121.774017,12.879721
ETHIOPIA,40.489673,9.145000000000001,PHILIPPINES,121.774017,12.879721
ST. HELENA,-5.7089241,-15.9650104,PHILIPPINES,121.774017,12.879721
ALGERIA,1.659626,28.033886,PHILIPPINES,121.774017,12.879721
MOROCCO,-7.092619999999999,31.791702,PHILIPPINES,121.774017,12.879721
NORWAY,8.468945999999999,60.47202399999999,PHILIPPINES,121.774017,12.879721
PANAMA,-80.782127,8.537981,PHILIPPINES,121.774017,12.879721
SAMOA,-172.104629,-13.759029,PHILIPPINES,121.774017,12.879721
ANTIGUA AND BARBUDA,-61.796428,17.060816,PHILIPPINES,121.774017,12.879721
"JORDAN, ASIA",36.238414,30.585164,PHILIPPINES,121.774017,12.879721
BAHAMAS,-77.39627999999999,25.03428,PHILIPPINES,121.774017,12.879721
AMERICAN SAMOA,-170.132217,-14.270972,PHILIPPINES,121.774017,12.879721
GAMBIA,-15.310139,13.443182,PHILIPPINES,121.774017,12.879721
TONGA,-175.198242,-21.178986,PHILIPPINES,121.774017,12.879721
FRENCH POLYNESIA,-149.406843,-17.679742,PHILIPPINES,121.774017,12.879721
TUNISIA,9.537499,33.886917,PHILIPPINES,121.774017,12.879721
IRAQ,43.679291,33.223191,PHILIPPINES,121.774017,12.879721
SLOVENIA,14.995463,46.151241,PHILIPPINES,121.774017,12.879721
ZAMBIA,27.849332,-13.133897,PHILIPPINES,121.774017,12.879721
SAN MARINO,12.457777,43.94236,PHILIPPINES,121.774017,12.879721
PERU,-75.015152,-9.189967,PHILIPPINES,121.774017,12.879721
BURMA (See MM MYANMAR),95.955974,21.916221,PHILIPPINES,121.774017,12.879721
ROMANIA,24.96676,45.943161,PHILIPPINES,121.774017,12.879721
ZIMBABWE,29.154857,-19.015438,PHILIPPINES,121.774017,12.879721
BAHRAIN,50.5577,26.0667,PHILIPPINES,121.774017,12.879721
NETHERLANDS ANTILLES,4.9245673,52.3763561,PHILIPPINES,121.774017,12.879721
TRINIDAD AND TOBAGO,-61.222503,10.691803,PHILIPPINES,121.774017,12.879721
BULGARIA,25.48583,42.733883,PHILIPPINES,121.774017,12.879721
UKRAINE,31.1655799,48.379433,PHILIPPINES,121.774017,12.879721
ESTONIA,25.0136071,58.595272,PHILIPPINES,121.774017,12.879721
FRANCE,2.213749,46.227638,PHILIPPINES,121.774017,12.879721
MALAWI,34.301525,-13.254308,PHILIPPINES,121.774017,12.879721
NORTHERN MARIANAS,145.6739,15.0979,PHILIPPINES,121.774017,12.879721
KIRIBATI,-168.734039,-3.370417,PHILIPPINES,121.774017,12.879721
GUATEMALA,-90.23075899999999,15.783471,PHILIPPINES,121.774017,12.879721
SYRIAN ARAB REPUBLIC,38.996815,34.80207499999999,PHILIPPINES,121.774017,12.879721
EL SALVADOR,-88.89653,13.794185,PHILIPPINES,121.774017,12.879721
BOLIVIA,-63.58865299999999,-16.290154,PHILIPPINES,121.774017,12.879721
MONGOLIA,103.846656,46.862496,PHILIPPINES,121.774017,12.879721
HAITI,-72.285215,18.971187,PHILIPPINES,121.774017,12.879721
ARGENTINA,-63.61667199999999,-38.416097,PHILIPPINES,121.774017,12.879721
SEYCHELLES,55.491977,-4.679574,PHILIPPINES,121.774017,12.879721
SWEDEN,18.643501,60.12816100000001,PHILIPPINES,121.774017,12.879721
EAST TIMOR,125.727539,-8.874217,PHILIPPINES,121.774017,12.879721
SWITZERLAND,8.227511999999999,46.818188,PHILIPPINES,121.774017,12.879721
FINLAND,25.7481511,61.92410999999999,PHILIPPINES,121.774017,12.879721
LIBERIA,-9.429499000000002,6.428055,PHILIPPINES,121.774017,12.879721
AUSTRIA,14.550072,47.516231,PHILIPPINES,121.774017,12.879721
MALAYSIA,101.975766,4.210484,PHILIPPINES,121.774017,12.879721
SRI LANKA,80.77179699999999,7.873053999999999,PHILIPPINES,121.774017,12.879721
BOSNIA-HERCEGOVINA,17.679076,43.915886,PHILIPPINES,121.774017,12.879721
ST VINCENT AND GRENADINES,-61.287228,12.984305,PHILIPPINES,121.774017,12.879721
NIUE,-169.867233,-19.054445,PHILIPPINES,121.774017,12.879721
NORFOLK ISLAND,167.954712,-29.040835,PHILIPPINES,121.774017,12.879721
Pitcairn,-128.3242376,-24.3767537,PHILIPPINES,121.774017,12.879721
BOTSWANA,24.684866,-22.328474,PHILIPPINES,121.774017,12.879721
NAMIBIA,18.49041,-22.95764,PHILIPPINES,121.774017,12.879721
"GEORGIA, ASIA",43.35689199999999,42.315407,PHILIPPINES,121.774017,12.879721
"IRAN, ISLAMIC REPUBLIC OF",53.688046,32.427908,PHILIPPINES,121.774017,12.879721
PORTUGAL,-8.224454,39.39987199999999,PHILIPPINES,121.774017,12.879721
CZECH REPUBLIC,15.472962,49.81749199999999,PHILIPPINES,121.774017,12.879721
BERMUDA,-64.7505,32.3078,PHILIPPINES,121.774017,12.879721
NICARAGUA,-85.207229,12.865416,PHILIPPINES,121.774017,12.879721
UGANDA,32.290275,1.373333,PHILIPPINES,121.774017,12.879721
SIERRA LEONE,-11.779889,8.460555,PHILIPPINES,121.774017,12.879721
MONACO,7.424615799999999,43.73841760000001,PHILIPPINES,121.774017,12.879721
GHANA,-1.023194,7.946527,PHILIPPINES,121.774017,12.879721
NIGER,8.081666,17.607789,PHILIPPINES,121.774017,12.879721
"KOREA, DEM. PEOPLE'S REP.",127.510093,40.339852,PHILIPPINES,121.774017,12.879721
LESOTHO,28.233608,-29.609988,PHILIPPINES,121.774017,12.879721
INDIA,78.96288,20.593684,PHILIPPINES,121.774017,12.879721
CAMBODIA,104.990963,12.565679,PHILIPPINES,121.774017,12.879721
SENEGAL,-14.452362,14.497401,PHILIPPINES,121.774017,12.879721
GUINEA-BISSAU,-15.180413,11.803749,PHILIPPINES,121.774017,12.879721
PAKISTAN,69.34511599999999,30.375321,PHILIPPINES,121.774017,12.879721
MYANMAR,95.955974,21.916221,PHILIPPINES,121.774017,12.879721
COTE D'IVOIRE,-5.547079999999999,7.539988999999999,PHILIPPINES,121.774017,12.879721
FRENCH GUIANA,-53.125782,3.933889,PHILIPPINES,121.774017,12.879721
NETHERLANDS,5.291265999999999,52.132633,PHILIPPINES,121.774017,12.879721
BRAZIL,-51.92528,-14.235004,PHILIPPINES,121.774017,12.879721
COLOMBIA,-74.297333,4.570868,PHILIPPINES,121.774017,12.879721
CONGO,21.758664,-4.038333,PHILIPPINES,121.774017,12.879721
DOMINICA,-61.37097600000001,15.414999,PHILIPPINES,121.774017,12.879721
UNITED STATES,-95.712891,37.09024,PHILIPPINES,121.774017,12.879721
REPUBLIC OF SERBIA,21.005859,44.016521,PHILIPPINES,121.774017,12.879721
POLAND,19.145136,51.919438,PHILIPPINES,121.774017,12.879721
KENYA,37.906193,-0.023559,PHILIPPINES,121.774017,12.879721
CYPRUS,33.429859,35.126413,PHILIPPINES,121.774017,12.879721
PUERTO RICO,-66.590149,18.220833,PHILIPPINES,121.774017,12.879721
NAURU,166.931503,-0.522778,PHILIPPINES,121.774017,12.879721
LATVIA,24.603189,56.879635,PHILIPPINES,121.774017,12.879721
FED. STATES OF MICRONESIA,150.550812,7.425554,PHILIPPINES,121.774017,12.879721
UNITED KINGDOM,-3.435973,55.378051,PHILIPPINES,121.774017,12.879721
URUGUAY,-55.765835,-32.522779,PHILIPPINES,121.774017,12.879721
YEMEN,48.516388,15.552727,PHILIPPINES,121.774017,12.879721
NEW ZEALAND,174.885971,-40.900557,PHILIPPINES,121.774017,12.879721
GUYANA,-58.93018,4.860416,PHILIPPINES,121.774017,12.879721
DJIBOUTI,42.590275,11.825138,PHILIPPINES,121.774017,12.879721
CAMEROON,12.354722,7.369721999999999,PHILIPPINES,121.774017,12.879721
BRUNEI DARUSSALAM,114.727669,4.535277,PHILIPPINES,121.774017,12.879721
SLOVAKIA,19.699024,48.669026,PHILIPPINES,121.774017,12.879721
TUVALU,177.64933,-7.109534999999999,PHILIPPINES,121.774017,12.879721
MARSHALL ISLANDS,171.184478,7.131474,PHILIPPINES,121.774017,12.879721
CAYMAN ISLANDS,-81.2546,19.3133,PHILIPPINES,121.774017,12.879721
FAEROE ISLANDS,-6.9118061,61.89263500000001,PHILIPPINES,121.774017,12.879721
DOMINICAN REPUBLIC,-70.162651,18.735693,PHILIPPINES,121.774017,12.879721
AFGHANISTAN,67.709953,33.93911,PHILIPPINES,121.774017,12.879721
THAILAND,100.992541,15.870032,PHILIPPINES,121.774017,12.879721
HONG KONG,114.1693611,22.3193039,PHILIPPINES,121.774017,12.879721
GREECE,21.824312,39.074208,PHILIPPINES,121.774017,12.879721
JAMAICA,-77.297508,18.109581,PHILIPPINES,121.774017,12.879721
NEPAL,84.12400799999999,28.394857,PHILIPPINES,121.774017,12.879721
MEXICO,-102.552784,23.634501,PHILIPPINES,121.774017,12.879721
OMAN,55.975413,21.4735329,PHILIPPINES,121.774017,12.879721
KYRGYZSTAN,74.766098,41.20438,PHILIPPINES,121.774017,12.879721
PAPUA NEW GUINEA,143.95555,-6.314992999999999,PHILIPPINES,121.774017,12.879721
COSTA RICA,-83.753428,9.748916999999999,PHILIPPINES,121.774017,12.879721
GUINEA,-9.696645,9.945587,PHILIPPINES,121.774017,12.879721
SUDAN,30.217636,12.862807,PHILIPPINES,121.774017,12.879721
"TOGO, AFRICA",0.824782,8.619543,PHILIPPINES,121.774017,12.879721
SOLOMON ISLANDS,160.156194,-9.64571,PHILIPPINES,121.774017,12.879721
LITHUANIA,23.881275,55.169438,PHILIPPINES,121.774017,12.879721
PALAU,134.58252,7.514979999999999,PHILIPPINES,121.774017,12.879721
SPAIN,-3.74922,40.46366700000001,PHILIPPINES,121.774017,12.879721
GUAM,144.793731,13.444304,PHILIPPINES,121.774017,12.879721
HONDURAS,-86.241905,15.199999,PHILIPPINES,121.774017,12.879721
VENEZUELA,-66.58973,6.42375,PHILIPPINES,121.774017,12.879721
INDONESIA,113.921327,-0.789275,PHILIPPINES,121.774017,12.879721
SWAZILAND,31.465866,-26.522503,PHILIPPINES,121.774017,12.879721
QATAR,51.183884,25.354826,PHILIPPINES,121.774017,12.879721
Andorra,1.521801,42.506285,PHILIPPINES,121.774017,12.879721
CANADA,-106.346771,56.130366,PHILIPPINES,121.774017,12.879721
"TANZANIA, UNITED REPUBLIC OF",34.888822,-6.369028,PHILIPPINES,121.774017,12.879721
ARMENIA,45.038189,40.069099,PHILIPPINES,121.774017,12.879721
SAINT LUCIA,-60.978893,13.909444,PHILIPPINES,121.774017,12.879721
SINGAPORE,103.819836,1.352083,PHILIPPINES,121.774017,12.879721
BANGLADESH,90.356331,23.684994,PHILIPPINES,121.774017,12.879721
BELGIUM,4.469936,50.503887,PHILIPPINES,121.774017,12.879721
ECUADOR,-78.18340599999999,-1.831239,PHILIPPINES,121.774017,12.879721
IRELAND,-7.692053599999999,53.1423672,PHILIPPINES,121.774017,12.879721
CHINA,104.195397,35.86166,PHILIPPINES,121.774017,12.879721
MAURITIUS,57.55215200000001,-20.348404,PHILIPPINES,121.774017,12.879721
COCOS (KEELING) ISLANDS,96.87095599999999,-12.164165,PHILIPPINES,121.774017,12.879721
UNITED ARAB EMIRATES,53.847818,23.424076,PHILIPPINES,121.774017,12.879721
REUNION,55.536384,-21.115141,PHILIPPINES,121.774017,12.879721
UZBEKISTAN,64.585262,41.377491,PHILIPPINES,121.774017,12.879721
CROATIA,15.2000001,45.1,PHILIPPINES,121.774017,12.879721
NIGERIA,8.675277,9.081999,PHILIPPINES,121.774017,12.879721
CHRISTMAS ISLANDS,105.690449,-10.447525,PHILIPPINES,121.774017,12.879721
CHILE,-71.542969,-35.675147,PHILIPPINES,121.774017,12.879721
